#Background,#Icon,#NumberText,#CardText
background/front-black-pick2-BR.png,,,______ estaria lamentavelmente incompleto sem ______.
background/front-black.png,,,______. Incrível em teoria, uma bagunça na prática.
background/front-black.png,,,______. É uma cilada!
background/front-black.png,,,Um estudo novo e notável mostrou que os chimpanzés evoluíram sua própria versão primitiva de/do ______.
background/front-black.png,,,Um jantar romântico à luz de velas ficaria incompleto sem ______.
background/front-black.png,,,Uma entrevista de emprego bem sucedida começa com um aperto de mão firme e termina com ______.
background/front-black-pick2-BR.png,,,Após meses de treino com ______, acho que estou finalmente pronto para ______.
background/front-black-pick2-BR.png,,,E o Oscar de ______ vai para ______.
background/front-black.png,,,E o que você trouxe para a apresentação?
background/front-black.png,,,Mas antes de te matar, Sr. Bond, tenho que te mostrar ______.
background/front-black.png,,,O jogo da mímica me traumatizou quando minha mãe teve que ______.
background/front-black.png,,,Clique Aqui para ______!!!
background/front-black.png,,,Chegando nesta temporada, a peça existencial clássica de Samuel Beckett: Esperando ______.
background/front-black.png,,,Chegando à Broadway nesta temporada, ______: O Musical.
background/front-black.png,,,Papai, por que a mamãe está chorando?
background/front-black-pick2-BR.png,,,Prezado Senhor ou Senhora, Lamentamos informar que o Escritório de/do ______ negou seu pedido de ______.
background/front-black.png,,,Doutor, você foi longe demais! O corpo humano não foi feito para suportar essa quantidade de ______!
background/front-black.png,,,Cara, não entre no banheiro. Tem ______ lá.
background/front-black.png,,,Durante a crise de meia idade, o meu pai começou a gostar de ______.
background/front-black.png,,,Durante o sexo, eu gosto de pensar em ______.
background/front-black.png,,,Finalmente! Um serviço que entrega ______ à sua porta.
background/front-black-pick2-BR.png,,,Para o meu próximo truque, vou tirar ______ do/da ______.
background/front-black.png,,,Dica! Quando um cara pedir para você fazer um boquete, tente surpreendê-lo com ______.
background/front-black.png,,,Os futuros historiadores concordarão que ______ marcou o início do declínio da América.
background/front-black.png,,,Tendo problemas com ______? Experimente ______!
background/front-black.png,,,Hey Reddit! Sou ______. Pergunte-me qualquer coisa.
background/front-black.png,,,Eu bebo para esquecer ______.
background/front-black.png,,,Tenho 99 problemas, mas ______ não é um.
background/front-black.png,,,Eu aprendi da maneira mais difícil que você não pode animar um amigo de luto com ______.
background/front-black-pick2-BR.png,,,Nunca compreendi verdadeiramente ______ até encontrar ______.
background/front-black.png,,,Passei toda a minha vida trabalhando para ______, apenas para ser arruinado por ______.
background/front-black.png,,,Eu não sou médico, mas eu tenho quase certeza que você sofre de "______".
background/front-black.png,,,Desculpe-me, Professor, mas não fiz minha lição de casa por causa de/do/da ______.
background/front-black.png,,,Não sou como vocês. Sou muito rico e ocupado para ______.
background/front-black-pick2-BR.png,,,Em um mundo devastado por ______ nosso único consolo é ______.
background/front-black.png,,,Em seu novo álbum auto-produzido, Kanye West faz raps sobre ______.
background/front-black.png,,,Em Roma, há rumores que o Vaticano tem uma sala secreta dedicada a ______.
background/front-black.png,,,No sétimo círculo do Inferno, os pecadores devem suportar ______ por toda a eternidade.
background/front-black.png,,,É uma pena que hoje em dia as crianças estejam se envolvendo com ______.
background/front-black.png,,,Pelo menos uma vez, eu gostaria de ouvir você dizer "Obrigado, mamãe. Obrigado por ______".
background/front-black.png,,,Acabei de ver este vídeo perturbador! Por favor, retweet!! #pare______
background/front-black.png,,,Te amar é fácil porque você é ______.
background/front-black-draw2pick3-BR.png,,,Faça um haiku.
background/front-black.png,,,O dinheiro não pode me comprar amor, mas pode me comprar ______.
background/front-black.png,,,Sr. e Sra. Diaz, chamamos vocês porque estamos preocupados com a Cynthia. Vocês estão cientes que sua filha é/tem ______?
background/front-black-pick2-BR.png,,,Minha mãe surtou quando viu o histórico do meu navegador e tinha ______.com/______.
background/front-black.png,,,Meu plano para dominar o mundo começa com ______.
background/front-black.png,,,Próximo da J.K. Rowling: Harry Potter e a Câmara de/da ______.
background/front-black.png,,,Em seguida, na Eurosport: O Campeonato Mundial de _______.
background/front-black.png,,,Só há duas coisas certas na vida: a morte e ______.
background/front-black.png,,,A ciência jamais explicará ______.
background/front-black.png,,,O encontro às cegas estava sendo uma merda até que descobrimos ambos gostamos de ______.
background/front-black.png,,,A excursão da classe foi completamente arruinada por ______.
background/front-black.png,,,Os Cinco Estágios do Luto: negação, raiva, barganha, ______, aceitação.
background/front-black.png,,,O processo de recuperação começou quando me juntei a um grupo de apoio às vítimas de ______.
background/front-black.png,,,O segredo para um casamento duradouro é a comunicação, comunicação e ______.
background/front-black.png,,,O tema para o Concurso Eurovisão da Canção do próximo ano é "Somos ________".
background/front-black.png,,,Este é o seu capitão falando. Apertem os cintos e preparem-se para ______.
background/front-black.png,,,Notícia do dia: O que você não sabe sobre ________ e que pode te matar.
background/front-black.png,,,Parece que o Homem-______ não era o herói que precisávamos nem queríamos.
background/front-black.png,,,Oh galera, eu sei que foi minha idéia, mas eu estou tendo sérias dúvidas sobre ______.
background/front-black.png,,,Guerra! Para que serve?
background/front-black.png,,,Bem, se me dão licença, cavalheiros, tenho um encontro com ______.
background/front-black.png,,,O que meus pais estão escondendo de mim?
background/front-black.png,,,O que fez acabar com a orgia?
background/front-black.png,,,O que acabou com meu último relacionamento?
background/front-black.png,,,O que me faz peidar descontroladamente?
background/front-black.png,,,O que tem dificultado a vida na colônia de nudismo?
background/front-black.png,,,Qual é o prazer secreto do Batman?
background/front-black.png,,,O que deixou esta mancha no meu sofá?
background/front-black.png,,,O que fez meu primeiro beijo ser tão estranho?
background/front-black.png,,,O que faz a vida valer a pena?
background/front-black.png,,,O que nunca deixa de animar a festa?
background/front-black.png,,,O que sempre faz você querer transar?
background/front-black.png,,,O que a vovó acharia perturbador, mas estranhamente charmoso?
background/front-black.png,,,Qual é o melhor amigo de uma menina?
background/front-black.png,,,Qual é o meu poder secreto?
background/front-black.png,,,Que cheiro é esse?
background/front-black.png,,,Que som é esse?
background/front-black.png,,,O que tem de monte no Céu?
background/front-black.png,,,Quando todo o resto falhar, posso sempre masturbar-me para ______.
background/front-black.png,,,Quando eu for rico, vou erguer uma estátua de 20 metros para comemorar ______.
background/front-black.png,,,Quando eu for Presidente, criarei o Ministério de/do ______.
background/front-black.png,,,Quando caguei, o que saiu do meu cu?
background/front-black-pick2-BR.png,,,No fundo, ______ é apenas ______.
background/front-black.png,,,Por que estou grudando?
background/front-black.png,,,Por que não consigo dormir à noite?
background/front-black.png,,,Por que eu estou todo machucado?
background/front-black-pick2-BR.png,,,Com tempo e pressão suficientes, ______ se transformará em ______.
background/front-black.png,,,A sua persistência é admirável, meu caro Príncipe. Mas você não pode me conquistar apenas com ______.
background/front-white.png,,,50.000 volts direto nos mamilos.
background/front-white.png,,,72 virgens.
background/front-white.png,,,Um saco de feijões mágicos.
background/front-white.png,,,Uma bola de cera, sémen e unha cortadas.
background/front-white.png,,,Um grande pau preto.
background/front-white.png,,,Um pássaro que caga bosta humana.
background/front-white.png,,,Um tapa de puta.
background/front-white.png,,,Clareamento anal.
background/front-white.png,,,Uma tigela de maionese e dentes humanos.
background/front-white.png,,,Tumor cerebral.
background/front-white.png,,,Um vídeo de gato tão bonito que seus olhos rolam para trás e sua coluna desliza para fora de seu ânus.
background/front-white.png,,,Um turista chinês que quer muito algo mas não consegue dizer.
background/front-white.png,,,Um policial que também é um cachorro.
background/front-white.png,,,Um crucifixo.
background/front-white.png,,,Uma camisinha defeituosa.
background/front-white.png,,,Uma festa de aniversário decepcionante.
background/front-white.png,,,Um falcão com um boné na cabeça.
background/front-white.png,,,Um peido tão poderoso que acorda os gigantes do seu sono de mil anos.
background/front-white.png,,,Um gordo careca da internet.
background/front-white.png,,,Um feto.
background/front-white.png,,,Uma boa cheirada.
background/front-white.png,,,Um gorila bom e forte.
background/front-white.png,,,Uma montagem homoerótica de vôlei.
background/front-white.png,,,Um bando de Vikings.
background/front-white.png,,,Uma torradeira japonesa que se pode foder.
background/front-white.png,,,Uma vida intera de tristeza.
background/front-white.png,,,Um moleque que enche o saco falando sobre disnossauros.
background/front-white.png,,,Um baixo padrão de vida.
background/front-white.png,,,Um homem de legging, de rabo de cavalo e brincos de penas.
background/front-white.png,,,Um homem prestes a gozar.
background/front-white.png,,,Um micropênis.
background/front-white.png,,,Um microporco vestindo uma pequena capa de chuva e botas.
background/front-white.png,,,Um homem de meia idade em patins.
background/front-white.png,,,Um mímico tendo um derrame.
background/front-white.png,,,Um macaco fumando um charuto.
background/front-white.png,,,Uma mulher muito mais nova.
background/front-white.png,,,Uma piñata cheia de escorpiões.
background/front-white.png,,,Uma apresentação PowerPoint.
background/front-white.png,,,Uma pirâmide de cabeças decepadas.
background/front-white.png,,,Um chapéu muito legal.
background/front-white.png,,,Um dragão gordo, triste, e sem amigos.
background/front-white.png,,,Uma triste punheta.
background/front-white.png,,,Uma gozada surpresa.
background/front-white.png,,,Um solo de saxofone.
background/front-white.png,,,Um mar de problemas.
background/front-white.png,,,Um universo paralelo um pouco mais merda.
background/front-white.png,,,Uma tartaruga mordendo a ponta do seu pinto.
background/front-white.png,,,Um pentelho de um estranho na privada.
background/front-white.png,,,Uma quantidade surpreendente de cabelo.
background/front-white.png,,,Uma bela nave.
background/front-white.png,,,Uma detonação termonuclear.
background/front-white.png,,,Um paradoxo da viagem no tempo.
background/front-white.png,,,Um cavalo minúsculo.
background/front-white.png,,,Um violão pequeno e gay chamado ukulele.
background/front-white.png,,,Uma buceta que leva a outra dimensão.
background/front-white.png,,,Uma mentira atrás da outra.
background/front-white.png,,,Um moinho cheio de cadáveres.
background/front-white.png,,,Aceitar como as coisas são.
background/front-white.png,,,Levando bala, sério.
background/front-white.png,,,Crianças africanas.
background/front-white.png,,,Agricultura.
background/front-white.png,,,AIDS.
background/front-white.png,,,Alcoolismo.
background/front-white.png,,,Todos meus amigos morrerem.
background/front-white.png,,,Todo esse sangue.
background/front-white.png,,,Todos os caras com quem transei.
background/front-white.png,,,Americanização.
background/front-white.png,,,Amputados.
background/front-white.png,,,Uma AK-47.
background/front-white.png,,,Um exército de esqueletos.
background/front-white.png,,,Um desastre anal.
background/front-white.png,,,Um fluxo interminável de diarréia.
background/front-white.png,,,Uma ereção que dura mais de quatro horas.
background/front-white.png,,,O diabo encarnado.
background/front-white.png,,,Um polvo batendo punheta para sete e fumando um cigarro.
background/front-white.png,,,O complexo de Édipo.
background/front-white.png,,,Um cara velho que está quase morto.
background/front-white.png,,,Uma mulher mais velha que conhece bem uma rola.
background/front-white.png,,,Um pirulito muito grande.
background/front-white.png,,,Uma chuva de Formigas-de-fogo.
background/front-white.png,,,Uma gravidez indesejada.
background/front-white.png,,,Dizer que eu estou quase gozando.
background/front-white.png,,,Outra dose de morfina.
background/front-white.png,,,Arnold Schwarzenegger.
background/front-white.png,,,Autocanibalismo.
background/front-white.png,,,Desodorante AXE.
background/front-white.png,,,Bolas.
background/front-white.png,,,Bananas.
background/front-white.png,,,Barack Obama.
background/front-white.png,,,Decência humana básica.
background/front-white.png,,,BATMAN!
background/front-white.png,,,Tornar-se um mirtilo.
background/front-white.png,,,Abelhas?
background/front-white.png,,,Ser um adulto ocupado com muitas coisas importantes para fazer.
background/front-white.png,,,Ser um cuzão com as crianças.
background/front-white.png,,,Ser um dinossauro.
background/front-white.png,,,Ser um animal horrível que ninguém poderia amar.
background/front-white.png,,,Ser um feiticeiro maldito.
background/front-white.png,,,Ser uma mulher.
background/front-white.png,,,Ser capaz de falar com elefantes.
background/front-white.png,,,Ser muito bom de cama.
background/front-white.png,,,Ser preto.
background/front-white.png,,,Ser fabuloso.
background/front-white.png,,,Ser gordo e estúpido.
background/front-white.png,,,Estar arrasando.
background/front-white.png,,,Ser rico.
background/front-white.png,,,Ser branco.
background/front-white.png,,,Bissexualidade.
background/front-white.png,,,Putas.
background/front-white.png,,,Peidos de sangue.
background/front-white.png,,,Chupar meu namorado tão forte que ele se caga.
background/front-white.png,,,Criadores de galinhas da Bósnia.
background/front-white.png,,,Começar a cantar e dançar.
background/front-white.png,,,Porra nenhuma.
background/front-white.png,,,Comprar roupas da moda para ser legal.
background/front-white.png,,,Cards Against Humanity.
background/front-white.png,,,Casualmente sugerir um ménage à trois.
background/front-white.png,,,Catapultas.
background/front-white.png,,,Centauros.
background/front-white.png,,,Motosserra no lugar das mãos.
background/front-white.png,,,Armas químicas.
background/front-white.png,,,Abuso infantil.
background/front-white.png,,,Crianças em coleiras.
background/front-white.png,,,Pedaços de um mochileiro morto.
background/front-white.png,,,Pinto.
background/front-white.png,,,Esconder uma ereção.
background/front-white.png,,,Sexo consensual.
background/front-white.png,,,Converter-se para o Islã.
background/front-white.png,,,Me cobrir com queijo parmesão e um pouco de pimenta porque sou uma pizza.
background/front-white.png,,,Carinho.
background/front-white.png,,,Gozar dentro do meu melhor amigo.
background/front-white.png,,,As bolas engraçadas do papai.
background/front-white.png,,,Problemas paternos.
background/front-white.png,,,O cinto do papai.
background/front-white.png,,,O cuzão gostoso do Daniel Radcliffe. (Ator do Harry Potter)
background/front-white.png,,,Forças sombrias e misteriosas além do nosso controle.
background/front-white.png,,,Darth Vader.
background/front-white.png,,,David Bowie voando em um tigre feito de raios.
background/front-white.png,,,Bebês mortos.
background/front-white.png,,,Pássaros mortos em todo lugar.
background/front-white.png,,,Pais mortos.
background/front-white.png,,,Desflorar a princesa.
background/front-white.png,,,Negar o aquecimento global.
background/front-white.png,,,Destruir as provas.
background/front-white.png,,,Dedos de pinto.
background/front-white.png,,,Fotos de pau.
background/front-white.png,,,Jantar com recortes de papelão do elenco de Friends.
background/front-white.png,,,Febre da discoteca.
background/front-white.png,,,Diversidade.
background/front-white.png,,,Cometer crimes.
background/front-white.png,,,Fazer isso na bunda.
background/front-white.png,,,Fazer a coisa certa.
background/front-white.png,,,Donald J. Trump.
background/front-white.png,,,Dupla penetração.
background/front-white.png,,,Beber sozinho.
background/front-white.png,,,Bebendo da privada e comendo lixo.
background/front-white.png,,,Afogando as crianças na banheira.
background/front-white.png,,,Dwayne "The Rock" Johnson.
background/front-white.png,,,Morrer sozinho e sofrendo.
background/front-white.png,,,Morrer.
background/front-white.png,,,Comer um ovo cozido que saiu do cu do meu marido.
background/front-white.png,,,Comendo um albino.
background/front-white.png,,,Calcinha comestível.
background/front-white.png,,,Homens japoneses idosos.
background/front-white.png,,,Emergir do mar e destruindo Tóquio.
background/front-white.png,,,Emma Watson.
background/front-white.png,,,Emoções.
background/front-white.png,,,Disfunção erétil.
background/front-white.png,,,Demonstrar autoridade.
background/front-white.png,,,Estrogênio.
background/front-white.png,,,Exatamente o que você esperaria.
background/front-white.png,,,Existir.
